price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
1800000.0,440,2,2,0,4,1,0,1,1,0,0,Bommanahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000.0,1585,3,3,0,4,1,0,2,2,2,1,Bommanahalli,1,1,0,0,1,1,0,0,0,1,0,0,1,0
7200000.0,1350,3,2,1,3,1,1,3,5,1,1,Bommanahalli,0,0,0,0,1,0,0,1,1,1,0,0,1,0
7200000.0,1290,2,2,3,3,1,0,2,2,2,1,Bommanahalli,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5700000.0,1035,2,2,2,4,1,1,3,1,2,1,Bommanahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4850000.0,945,2,2,1,5,1,1,1,2,1,1,Bommanahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5500000.0,1450,3,3,2,3,1,1,1,3,2,1,Bommanahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000000.0,1350,3,2,1,3,1,0,2,2,1,1,Bommanahalli,1,0,0,0,1,1,0,1,0,1,1,0,1,1
6000000.0,1145,2,2,2,4,1,1,2,3,2,1,Bommanahalli,1,1,0,0,1,1,1,0,0,1,0,0,1,0
10000000.0,1355,2,2,0,4,1,1,3,2,2,0,Bommanahalli,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5400000.0,1155,2,2,2,4,1,1,2,3,2,1,Bommanahalli,1,0,0,0,1,1,1,1,1,1,1,0,1,0
16500000.0,3395,3,4,2,3,1,1,2,5,2,0,Bommanahalli,0,0,0,0,1,0,0,0,0,0,0,0,0,0
